 [2026-04-11T02:14:18.377Z] Bridge server on http://localhost:3000  (log: /home/mithun/Documents/inftok/browser-ai-mcp-bridge/backend/bridge.log)
[2026-04-11T02:14:25.935Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.287Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.304Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.349Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.544Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.584Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.670Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.675Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:26.678Z] [CLI→AI] "hi..."
[2026-04-11T02:14:26.681Z] [Relay] Message sent to extension: SEND_PROMPT
[2026-04-11T02:14:26.687Z] [Browser:info] (HTTP) [v2.3-DIRECT] New prompt — snapshot turns: 0, injecting 1110 chars
[2026-04-11T02:14:26.688Z] [Browser:info] (HTTP) [v2.3-DIRECT] Injecting 1110 chars into DIV
[2026-04-11T02:14:26.854Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:26.855Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.075Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.261Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.318Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.476Z] [Browser:info] (HTTP) [v2.3-DIRECT] Clicking Send button
[2026-04-11T02:14:27.868Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.870Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.871Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.897Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:27.899Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.182Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.245Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.266Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.301Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.376Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.382Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.390Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.397Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.781Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.845Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.895Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:28.999Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.112Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.200Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.217Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.260Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.262Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.270Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.302Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.865Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.872Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.988Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:29.995Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:30.322Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
